"","elevacion","fechahora","lat_geo","lon_geo","lat_utm","lon_utm","tiempo_GPS","hora","horal","distancia"
"42",548.68,2019-10-09 08:44:44,-26.3499833085,-53.9504351746,7081959.30300549,804371.026241372,3,"08:44:44","11:44:44",21.6174222358332
"43",548.69,2019-10-09 08:44:47,-26.3499774411,-53.9503898285,7081959.84629131,804375.570133413,3,"08:44:47","11:44:47",4.57625549581593
"44",548.8,2019-10-09 08:44:50,-26.3499987312,-53.9503730647,7081957.44680568,804377.188454547,1,"08:44:50","11:44:50",2.89421744029825
"45",548.38,2019-10-09 08:44:51,-26.3500117231,-53.9503593184,7081955.9742583,804378.527181947,5,"08:44:51","11:44:51",1.99012231822462
"46",548.22,2019-10-09 08:44:56,-26.3500306662,-53.9502809476,7081953.68943466,804386.304068005,3,"08:44:56","11:44:56",8.10557683226062
"47",548.18,2019-10-09 08:44:59,-26.3500594161,-53.9502027445,7081950.31796897,804394.038497617,12,"08:44:59","11:44:59",8.4373089498301
"48",548.21,2019-10-09 08:45:11,-26.3507204968,-53.9481785148,7081872.25833699,804594.455215252,2,"08:45:11","11:45:11",215.081767832048
"49",548.27,2019-10-09 08:45:13,-26.3504703809,-53.948088577,7081899.76987563,804604.092958871,4,"08:45:13","11:45:13",29.150829506332
"50",548.22,2019-10-09 08:45:17,-26.3511229958,-53.9479738288,7081827.15959241,804613.840305048,2,"08:45:17","11:45:17",73.2616133311962
"51",548.09,2019-10-09 08:45:19,-26.3510661665,-53.9480049256,7081833.53233146,804610.883913651,2,"08:45:19","11:45:19",7.02510165021216
"52",548.29,2019-10-09 08:45:21,-26.3509261049,-53.9483412076,7081849.85219474,804577.668585452,5,"08:45:21","11:45:21",37.00805269991
"53",548.14,2019-10-09 08:45:26,-26.3499046024,-53.9496107306,7081966.07999377,804453.566156849,2,"08:45:26","11:45:26",170.030332740199
"54",548.32,2019-10-09 08:45:28,-26.3500215299,-53.9501151536,7081954.31059468,804402.885120173,3,"08:45:28","11:45:28",52.0296668587097
"55",548.25,2019-10-09 08:45:31,-26.3500346895,-53.9501389582,7081952.90814097,804400.473365166,3,"08:45:31","11:45:31",2.78988146986401
"56",548.34,2019-10-09 08:45:34,-26.3500227872,-53.9501820412,7081954.32919884,804396.202059378,3,"08:45:34","11:45:34",4.50149515127418
"57",548.31,2019-10-09 08:45:37,-26.3500129804,-53.9502217714,7081955.51006169,804392.260088999,3,"08:45:37","11:45:37",4.11504162065284
"58",548.33,2019-10-09 08:45:40,-26.3499492779,-53.9502436481,7081962.62281974,804390.242342832,3,"08:45:40","11:45:40",7.39341779778453
"59",548.24,2019-10-09 08:45:43,-26.349891359,-53.9502724819,7081969.11092501,804387.514658505,3,"08:45:43","11:45:43",7.0381653681889
"60",548.19,2019-10-09 08:45:46,-26.3498548139,-53.9502990525,7081973.22450946,804384.95696166,3,"08:45:46","11:45:46",4.84390237007408
"61",548.1,2019-10-09 08:45:49,-26.3498407323,-53.9503360167,7081974.87267558,804381.302418108,3,"08:45:49","11:45:49",4.00900737800241
"62",547.99,2019-10-09 08:45:52,-26.3498331048,-53.9503804408,7081975.82305374,804376.885968627,3,"08:45:52","11:45:52",4.51754852283173
"63",547.92,2019-10-09 08:45:55,-26.3498299196,-53.9504255354,7081976.28260776,804372.390914993,3,"08:45:55","11:45:55",4.51848393395618
"64",548.1,2019-10-09 08:45:58,-26.3498620223,-53.950426206,7081972.72577336,804372.23980045,3,"08:45:58","11:45:58",3.56004305389317
"65",547.96,2019-10-09 08:46:01,-26.3498814683,-53.9504358452,7081970.59304781,804371.226205613,3,"08:46:01","11:46:01",2.36133283614663
"66",547.99,2019-10-09 08:46:04,-26.349894125,-53.9504333306,7081969.18417999,804371.444153173,3,"08:46:04","11:46:04",1.42562606363335
"67",547.95,2019-10-09 08:46:07,-26.3498978131,-53.9504227694,7081968.75043305,804372.489186968,3,"08:46:07","11:46:07",1.13147339321706
